Make,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Model
BMW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z8
Buick / Opel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7153.0,5595.0,4628.0,2535.0,12.0,0.0,Cascada
Buick / Opel,6504.0,83.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Century
Buick / Opel,0.0,0.0,29286.0,44706.0,43150.0,55426.0,58392.0,56703.0,60534,62300.0,62081.0,52028.0,48564.0,49648.0,51156.0,38479.0,42340.0,Enclave
Buick / Opel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31956,48892.0,67549.0,78565.0,88035.0,93071.0,102401.0,44353.0,20438.0,Encore
Buick / Opel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42240.0,72401.0,Encore GX
Buick / Opel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,14193.0,41040.0,30153.0,33230.0,34943.0,47173.0,Envision
Buick / Opel,92669.0,71072.0,47747.0,36873.0,27818.0,61178.0,58474.0,57076.0,48798,51468.0,42035.0,27582.0,20161.0,15527.0,7241.0,229.0,9.0,LaCrosse
Buick / Opel,75369.0,2313.0,121.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LeSabre
Buick / Opel,8821.0,96515.0,82923.0,54930.0,31292.0,26459.0,20358.0,971.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lucerne
Buick / Opel,2175.0,51.0,26.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Park Avenue
Buick / Opel,15271.0,12691.0,4819.0,117.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rainier
Buick / Opel,602.0,0.0,0.0,0.0,0.0,12326.0,40144.0,24616.0,18685,22560.0,19504.0,19833.0,11559.0,14117.0,10363.0,2493.0,19.0,Regal
Buick / Opel,0.0,0.0,0.0,163.0,12.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Relay
Buick / Opel,60589.0,45954.0,15295.0,27.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendezvous
Buick / Opel,20288.0,11948.0,5569.0,544.0,33.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Terraza
Buick / Opel,0.0,0.0,0.0,0.0,0.0,0.0,265.0,41042.0,45527,43743.0,31886.0,30277.0,4277.0,0.0,0.0,0.0,0.0,Verano
Buick / Opel,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Verona
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7008.0,38319,29890.0,26873.0,21505.0,13100.0,10860.0,1134.0,115.0,0.0,ATS
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4888.0,7254.0,CT4
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,43.0,14712.0,9448.0,CT5
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9169.0,10542.0,9669.0,7952.0,3117.0,103.0,CT6
Cadillac,61512.0,54846.0,57029.0,58774.0,38817.0,45656.0,55042.0,46979.0,32343,31115.0,19485.0,15911.0,10344.0,11220.0,6966.0,611.0,68.0,CTS
Cadillac,38661.0,807.0,71.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deville
Cadillac,23322.0,58224.0,51469.0,30479.0,17330.0,18640.0,11589.0,465.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DTS
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1310.0,1024.0,534.0,17.0,0.0,0.0,0.0,0.0,ELR
Cadillac,51144.0,62206.0,60991.0,39710.0,25884.0,26874.0,15079.0,12615.0,12592,19482.0,21230.0,23604.0,37694.0,36032.0,35424.0,24545.0,40504.0,Escalade
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,8388.0,8083.0,7950,10987.0,14691.0,15488.0,0.0,0.0,0.0,0.0,0.0,Escalade ESV
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,2036.0,1934.0,1972,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Escalade EXT
Cadillac,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seville
Cadillac,22999.0,22043.0,22543.0,16156.0,20237.0,51094.0,56905.0,57485.0,56776,53578.0,68850.0,22139.0,156.0,0.0,0.0,0.0,0.0,SRX
Cadillac,33497.0,25676.0,20873.0,14790.0,6037.0,4473.0,3338.0,164.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STS
