BODY_TYP,ST_CASE,BODY_TYPNAME,Model_ID,Make_ID,Model_Name,Case_Year,Make_Name,car_year
2,10341,,3.0,12.0,Mustang,2010.0,Ford,1994.0
4,10342,,32.0,49.0,Corolla,2010.0,Toyota,1994.0
14,10343,,401.0,12.0,Bronco,2010.0,Ford,1994.0
20,10344,,441.0,41.0,MPV,2010.0,Mazda,1994.0
4,10346,,7.0,18.0,Century,2010.0,Buick / Opel,2010.0
4,10347,,19.0,20.0,Beretta/Corsica,2010.0,Chevrolet,1994.0
2,10348,,398.0,7.0,Other (automobile),2010.0,Dodge,1994.0
4,10349,,32.0,49.0,Corolla,2010.0,Toyota,1994.0
20,10350,,444.0,20.0,Uplander,2010.0,Chevrolet,1994.0
15,10351,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
4,10352,,2.0,21.0,Delta 88/LSS,2010.0,Oldsmobile,1994.0
14,10353,,401.0,12.0,Bronco,2010.0,Ford,1994.0
4,10354,,20.0,22.0,Grand Prix,2010.0,Pontiac,1994.0
4,10355,,40.0,52.0,Diamante,2010.0,Mitsubishi,1994.0
14,10356,,402.0,49.0,RAV4,2010.0,Toyota,1994.0
80,10357,,706.0,76.0,750cc or greater,2010.0,Yamaha,1994.0
4,10358,,1.0,13.0,Continental,2010.0,Lincoln,1994.0
4,10359,,16.0,20.0,Cavalier,2010.0,Chevrolet,1994.0
3,10360,,36.0,52.0,Precis,2010.0,Mitsubishi,1994.0
31,10361,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10362,,1.0,13.0,Continental,2010.0,Lincoln,1994.0
31,10363,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
20,10364,,442.0,9.0,"Voyager (minivan) (2001 and on, see Chrysler)",2010.0,Plymouth,1994.0
4,10365,,35.0,52.0,Mirage,2010.0,Mitsubishi,1994.0
80,10366,,701.0,53.0,0-50cc,2010.0,Suzuki,1994.0
2,10367,,20.0,7.0,Neon,2010.0,Dodge,1994.0
4,10368,,34.0,34.0,3-series,2010.0,BMW,1994.0
30,10369,,472.0,35.0,Frontier,2010.0,Nissan/Datsun,1994.0
4,10370,,32.0,37.0,Accord,2010.0,Honda,2010.0
14,10371,,401.0,12.0,Bronco,2010.0,Ford,1994.0
2,10372,,32.0,30.0,Beetle,2010.0,Volkswagen,1994.0
30,10373,,471.0,38.0,P'up (pickup),2010.0,Isuzu,1994.0
31,10374,,482.0,7.0,Ram,2010.0,Dodge,1994.0
61,10375,,898.0,20.0,Other (medium/heavy truck),2010.0,Chevrolet,1994.0
2,10376,,18.0,22.0,Grand AM,2010.0,Pontiac,1994.0
14,10378,,401.0,35.0,Pathfinder,2010.0,Nissan/Datsun,1994.0
30,10379,,471.0,12.0,Ranger,2010.0,Ford,1994.0
4,10380,,32.0,37.0,Accord,2010.0,Honda,2010.0
31,10381,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
66,10382,,881.0,84.0,Medium/Heavy - CBE,2010.0,International Harvester/Navistar,1994.0
4,10383,,2.0,21.0,Delta 88/LSS,2010.0,Oldsmobile,1994.0
31,10384,,481.0,12.0,F-Series,2010.0,Ford,1994.0
14,10385,,402.0,38.0,Rodeo,2010.0,Isuzu,1994.0
31,10387,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
2,10388,,37.0,52.0,Eclipse,2010.0,Mitsubishi,1994.0
14,10389,,401.0,12.0,Bronco,2010.0,Ford,1994.0
80,10390,,705.0,37.0,450-749 cc,2010.0,Honda,2010.0
66,10391,,881.0,86.0,Medium/Heavy - CBE,2010.0,Mack,1994.0
31,10392,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10393,,34.0,53.0,Forenza,2010.0,Suzuki,1994.0
20,10394,,443.0,14.0,Villager,2010.0,Mercury,1994.0
80,10395,,706.0,72.0,750cc or greater,2010.0,Harley-Davidson,1994.0
4,10396,,2.0,22.0,Bonneville,2010.0,Pontiac,1994.0
31,10397,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
