Make_Model,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hyundai Equus,0,0,0,0,0,196,3193,3972,3578,3415,2332,1361,20,0,0,0,0
Hyundai Genesis,0,0,0,6167,21889,29122,32998,33973,32330,29992,31374,23230,1152,0,0,0,0
Hyundai Ioniq,0,0,0,0,0,0,0,0,0,0,0,0,11197,15076,19574,13570,19175
Hyundai Ioniq 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
Hyundai Kona,0,0,0,0,0,0,0,0,0,0,0,0,0,47090,73326,76253,89607
Hyundai Nexo,0,0,0,0,0,0,0,0,0,0,0,0,0,8,267,208,421
Hyundai Palisade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28736,81905,86282
Hyundai Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9634
Hyundai Santa Fe,68006,63931,92421,70994,80343,76680,74391,71016,88844,107906,118134,131257,133171,117038,127373,101513,112705
Hyundai Sonata,130365,149513,145568,117357,120028,196623,225961,230605,203648,216936,213303,199416,131803,105118,87466,76997,83434
Hyundai Tiburon,20600,17382,14073,9111,8587,0,0,0,0,0,0,0,0,0,0,0,15744
Hyundai Tucson,61048,52067,41476,19027,15411,39594,47232,48878,41906,47306,63591,89713,114735,153792,137381,123657,140721
Hyundai Veloster,0,0,0,0,0,0,9284,34862,30711,27598,24245,30053,12658,10871,12849,6785,1942
Hyundai Venue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,17587,20669
Hyundai Veracruz,0,0,12589,11004,10210,8741,9146,8232,175,1,0,0,0,0,0,0,0
Infiniti EX,0,0,0,0,0,8312,6030,3495,0,0,0,0,0,0,0,0,0
Infiniti EX35,0,0,305,12873,7950,0,0,0,0,0,0,0,0,0,0,0,0
Infiniti FX,26786,22653,20724,12660,11024,10420,9939,10424,0,0,0,0,0,0,0,0,0
Infiniti G,68728,60741,71809,64181,47174,58143,0,0,0,0,0,0,0,0,0,0,0
Infiniti G Coupe/Convertible,0,0,0,0,0,0,14487,13016,0,0,0,0,0,0,0,0,0
Infiniti G Sedan,0,0,0,0,0,0,43759,46828,0,0,0,0,0,0,0,0,0
Infiniti I35,1044,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiniti JX35,0,0,0,0,0,0,0,21674,0,0,0,0,0,0,0,0,0
Infiniti M,24000,25658,21884,15618,8501,14618,10818,9130,0,0,0,0,0,0,0,0,0
Infiniti Q40,0,0,0,0,0,0,0,0,0,0,8605,59,0,0,0,0,0
Infiniti Q40/G Sedan,0,0,0,0,0,0,0,0,30256,15590,0,0,0,0,0,0,0
Infiniti Q45,1129,393,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiniti Q50,0,0,0,0,0,0,0,0,17816,36899,43874,44007,40739,34763,25987,16533,13894
Infiniti Q60,0,0,0,0,0,0,0,0,9806,7740,3949,3970,10751,8405,5043,2793,2729
Infiniti Q70,0,0,0,0,0,0,0,0,5283,5034,8449,5872,5772,4479,2552,139,0
Infiniti QX30,0,0,0,0,0,0,0,0,0,0,0,2259,14093,8101,3229,149,0
Infiniti QX4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiniti QX50,0,0,0,0,0,0,0,0,2164,2727,5468,16973,16857,25389,18616,20885,19196
